C:\Users\Healthy\AppData\Local\Programs\Python\Python38-32\python.exe "C:/Users/Healthy/Desktop/AI Project 1/actual main.py"
3*3 - Hamming
Puzzle Number     Nodes Expanded     Steps Taken            Puzzle
---------------------------------------------------------------------------
87                          2728              26    [7, 8, 5, 3, 2, 0, 6, 4, 1]             
88                          3601              26    [6, 8, 1, 0, 5, 3, 7, 4, 2]             
89                           934              23    [8, 4, 6, 3, 7, 5, 2, 1, 0]             
90                          2704              25    [1, 4, 7, 6, 5, 3, 2, 8, 0]             
91                          1176              25    [0, 4, 7, 6, 8, 2, 3, 1, 5]             
92                           667              22    [7, 8, 5, 2, 6, 0, 1, 3, 4]             
93                          7743              28    [6, 0, 1, 5, 3, 4, 8, 2, 7]             
94                           421              19    [4, 5, 2, 6, 0, 8, 7, 1, 3]             
95                           348              21    [5, 3, 8, 6, 1, 4, 7, 2, 0]             
96                          3148              27    [2, 7, 8, 6, 5, 1, 3, 4, 0]             
97                           112              16    [1, 6, 5, 7, 4, 0, 3, 8, 2]             
98                          1667              24    [6, 0, 4, 1, 5, 2, 8, 3, 7]             
99                          1041              23    [5, 7, 2, 3, 6, 1, 0, 8, 4]             
100                          383              21    [0, 4, 5, 7, 6, 1, 3, 2, 8]             
total nodes for Manhattan:  133277 , total steps for Manhattan:  2164
---------------------------------------------------------------------------
3*3 - Linear Conflict
Puzzle Number     Nodes Expanded     Steps Taken            Puzzle
---------------------------------------------------------------------------
1                            176              19    [3, 1, 0, 4, 6, 2, 8, 7, 5]             
2                            372              23    [7, 8, 4, 1, 5, 2, 0, 6, 3]             
3                           1597              25    [0, 1, 4, 5, 2, 8, 3, 7, 6]             
4                           2410              25    [5, 3, 0, 7, 6, 8, 4, 1, 2]             
5                            135              17    [1, 5, 4, 8, 0, 2, 3, 7, 6]             
6                            380              20    [1, 0, 5, 3, 4, 8, 7, 2, 6]             
7                            204              18    [4, 3, 6, 7, 1, 0, 2, 8, 5]             
8                            603              23    [5, 4, 8, 3, 6, 2, 0, 7, 1]             
9                            207              16    [1, 2, 6, 0, 4, 3, 7, 8, 5]             
10                          3160              27    [8, 6, 5, 1, 7, 3, 2, 4, 0]             
11                           199              21    [7, 2, 0, 3, 8, 6, 1, 5, 4]             
12                           199              23    [6, 8, 4, 5, 3, 1, 0, 7, 2]             
13                          1319              24    [8, 6, 1, 3, 4, 5, 7, 0, 2]             
14                          1435              24    [1, 7, 8, 0, 2, 3, 5, 6, 4]             
15                            89              18    [7, 1, 3, 6, 8, 0, 5, 4, 2]             
16                           169              18    [1, 0, 8, 4, 6, 3, 2, 5, 7]             
17                           164              19    [7, 4, 1, 5, 8, 3, 6, 2, 0]             
18                          2662              25    [0, 5, 1, 8, 6, 3, 7, 4, 2]             
19                           388              20    [1, 7, 2, 3, 5, 6, 8, 0, 4]             
